,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State_x,City,CityFIPS,State_y,Place,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CategoryID,MeasureId,Short_Question_Text,Count_of_Individuals
3416,57.0,21.0,85.0,38.0,109.0,California,Santa Rosa,670098.0,06,70098,"Santa Rosa city, California",169005.0,36.7,60354.0,29688.0,22423.0,13.267654803112334,5.9524866128221054,2016.0,CA,California,Santa Rosa,City,BRFSS,Prevention,0670098,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.8,11.5,12.2,167815.0,"(38.4464423102, -122.706005935)",PREVENT,ACCESS2,Health Insurance,19802.170000000002
3444,66.0,30.0,91.0,49.0,111.0,California,Simi Valley,672016.0,06,72016,"Simi Valley city, California",124803.0,38.1,87269.0,36516.0,8205.0,6.574361193240547,4.7082201549642235,2016.0,CA,California,Simi Valley,City,BRFSS,Prevention,0672016,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.2,9.0,9.5,124237.0,"(34.2662462857, -118.748980462)",PREVENT,ACCESS2,Health Insurance,11429.804
3472,65.0,36.0,86.0,52.0,112.0,California,South Gate,673080.0,06,73080,"South Gate city, California",95000.0,30.3,42776.0,14259.0,19954.0,21.004210526315788,6.996842105263158,2016.0,CA,California,South Gate,City,BRFSS,Prevention,0673080,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,27.5,26.3,28.6,94396.0,"(33.9447322664, -118.192550525)",PREVENT,ACCESS2,Health Insurance,25958.9
3500,64.0,22.0,87.0,42.0,110.0,California,Stockton,675000.0,06,75000,"Stockton city, California",294406.0,31.0,46831.0,19896.0,70269.0,23.868059754216965,7.833739801498611,2016.0,CA,California,Stockton,City,BRFSS,Prevention,0675000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.6,17.2,17.9,291707.0,"(37.9766322679, -121.311121669)",PREVENT,ACCESS2,Health Insurance,51340.43200000001
3528,60.0,1.0,81.0,46.0,105.0,California,Sunnyvale,677000.0,06,77000,"Sunnyvale city, California",143315.0,35.2,100043.0,45977.0,11586.0,8.084289851027457,4.853644070753236,2016.0,CA,California,Sunnyvale,City,BRFSS,Prevention,0677000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.7,7.4,8.1,140081.0,"(37.3834416566, -122.025624324)",PREVENT,ACCESS2,Health Insurance,10786.237
3556,61.0,25.0,85.0,42.0,108.0,California,Temecula,678120.0,06,78120,"Temecula city, California",102605.0,33.3,78356.0,28018.0,8697.0,8.476195117197017,5.256079138443545,2016.0,CA,California,Temecula,City,BRFSS,Health Outcomes,0678120,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.1,8.0,8.2,100097.0,"(33.5029980884, -117.12239028)",HLTHOUT,CASTHMA,Current Asthma,8107.857
3584,62.0,32.0,83.0,47.0,104.0,California,Thousand Oaks,678582.0,06,78582,"Thousand Oaks city, California",127356.0,41.7,100476.0,45522.0,8586.0,6.741731838311504,4.956971010396055,2016.0,CA,California,Thousand Oaks,City,BRFSS,Prevention,0678582,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.0,7.6,8.4,126683.0,"(34.1917745655, -118.874888411)",PREVENT,ACCESS2,Health Insurance,10134.64
3612,67.0,34.0,86.0,50.0,109.0,California,Torrance,680000.0,06,80000,"Torrance city, California",146187.0,41.8,77061.0,36234.0,10711.0,7.3269168941150715,4.306128451914329,2016.0,CA,California,Torrance,City,BRFSS,Unhealthy Behaviors,0680000,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.0,17.0,17.1,145438.0,"(33.8345985464, -118.341641983)",UNHBEH,BINGE,Binge Drinking,24724.460000000003
3640,63.0,22.0,87.0,42.0,110.0,California,Tracy,680238.0,06,80238,"Tracy city, California",83452.0,32.7,76098.0,26652.0,6770.0,8.112447874227101,7.00762114748598,2016.0,CA,California,Tracy,City,BRFSS,Prevention,0680238,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.4,11.9,13.0,82922.0,"(37.7243277375, -121.444621463)",PREVENT,ACCESS2,Health Insurance,10282.328
3668,65.0,24.0,87.0,44.0,111.0,California,Turlock,680812.0,06,80812,"Turlock city, California",69185.0,33.3,53270.0,23199.0,11764.0,17.003685770036856,7.390330273903302,2016.0,CA,California,Turlock,City,BRFSS,Prevention,0680812,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.0,13.3,14.6,68549.0,"(37.5052158271, -120.858762412)",PREVENT,ACCESS2,Health Insurance,9596.86
3696,65.0,35.0,85.0,53.0,107.0,California,Tustin,680854.0,06,80854,"Tustin city, California",76497.0,33.3,73194.0,31524.0,9312.0,12.17302639319189,4.828947540426422,2016.0,CA,California,Tustin,City,BRFSS,Prevention,0680854,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.5,11.9,13.2,75540.0,"(33.7308520326, -117.810730968)",PREVENT,ACCESS2,Health Insurance,9442.5
3724,61.0,28.0,81.0,45.0,108.0,California,Union City,681204.0,06,81204,"Union City city, California",70687.0,36.5,82083.0,29685.0,5905.0,8.353728408335337,4.832571760012449,2016.0,CA,California,Union City,City,BRFSS,Prevention,0681204,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.5,10.0,11.0,69516.0,"(37.6028390812, -122.018966106)",PREVENT,ACCESS2,Health Insurance,7299.179999999999
3752,66.0,28.0,91.0,48.0,112.0,California,Upland,681344.0,06,81344,"Upland city, California",74487.0,36.5,62667.0,28604.0,9962.0,13.374145824103534,5.578154577308792,2016.0,CA,California,Upland,City,BRFSS,Prevention,0681344,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.4,11.9,12.9,73732.0,"(34.1178445701, -117.660290062)",PREVENT,ACCESS2,Health Insurance,9142.768
3780,63.0,21.0,88.0,42.0,112.0,California,Vacaville,681554.0,06,81554,"Vacaville city, California",93137.0,37.5,73582.0,29681.0,8382.0,8.999645683240818,4.664096975423301,2016.0,CA,California,Vacaville,City,BRFSS,Prevention,0681554,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.6,10.2,11.1,92428.0,"(38.3597235063, -121.96903046)",PREVENT,ACCESS2,Health Insurance,9797.368
3808,57.0,19.0,82.0,38.0,105.0,California,Vallejo,681666.0,06,81666,"Vallejo city, California",117079.0,38.5,58371.0,25996.0,20242.0,17.28918080953886,8.254255673519589,2016.0,CA,California,Vallejo,City,BRFSS,Prevention,0681666,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.3,12.0,12.6,115942.0,"(38.1135329247, -122.235518478)",PREVENT,ACCESS2,Health Insurance,14260.866000000002
3836,65.0,12.0,88.0,39.0,110.0,California,Victorville,682590.0,06,82590,"Victorville city, California",117551.0,29.0,50034.0,16477.0,28417.0,24.174188224685455,5.936997558506521,2016.0,CA,California,Victorville,City,BRFSS,Prevention,0682590,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.5,16.8,18.3,115903.0,"(34.5277691103, -117.353855136)",PREVENT,ACCESS2,Health Insurance,20283.024999999998
3864,66.0,23.0,88.0,44.0,109.0,California,Visalia,682954.0,06,82954,"Visalia city, California",125502.0,31.2,52899.0,23144.0,23784.0,18.951092412869915,5.594333158037322,2016.0,CA,California,Visalia,City,BRFSS,Prevention,0682954,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.1,14.5,15.8,124442.0,"(36.3270623157, -119.325273214)",PREVENT,ACCESS2,Health Insurance,18790.742
3892,63.0,32.0,80.0,52.0,103.0,California,Vista,682996.0,06,82996,"Vista city, California",95066.0,33.9,47346.0,21114.0,14917.0,15.691204005638188,4.079271243136348,2016.0,CA,California,Vista,City,BRFSS,Prevention,0682996,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.8,15.2,16.5,93834.0,"(33.1895481978, -117.238607217)",PREVENT,ACCESS2,Health Insurance,14825.772
3920,66.0,32.0,90.0,51.0,111.0,California,West Covina,684200.0,06,84200,"West Covina city, California",106731.0,35.7,67088.0,24859.0,10590.0,9.922140708884953,7.179732224002398,2016.0,CA,California,West Covina,City,BRFSS,Prevention,0684200,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.4,13.9,14.9,106098.0,"(34.0554415174, -117.91128206)",PREVENT,ACCESS2,Health Insurance,15278.112000000001
3948,63.0,32.0,86.0,49.0,109.0,California,Westminster,684550.0,06,84550,"Westminster city, California",90625.0,39.0,52633.0,22950.0,15083.0,16.643310344827587,6.247724137931034,2016.0,CA,California,Westminster,City,BRFSS,Prevention,0684550,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.2,13.6,14.7,89701.0,"(33.7521523769, -117.993760054)",PREVENT,ACCESS2,Health Insurance,12737.542
3976,66.0,32.0,90.0,51.0,111.0,California,Whittier,685292.0,06,85292,"Whittier city, California",85832.0,34.9,68522.0,28149.0,10466.0,12.193587473203467,4.590362568738932,2016.0,CA,California,Whittier,City,BRFSS,Prevention,0685292,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.5,14.9,16.1,85331.0,"(33.9678255596, -118.018796341)",PREVENT,ACCESS2,Health Insurance,13226.305
4004,52.0,-13.0,78.0,28.0,104.0,Colorado,Arvada,803455.0,08,03455,"Arvada city, Colorado",108300.0,40.0,68210.0,33204.0,9167.0,8.464450600184673,4.331486611265005,2016.0,CO,Colorado,Arvada,City,BRFSS,Prevention,0803455,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.2,9.8,10.5,106433.0,"(39.8308263293, -105.146327974)",PREVENT,ACCESS2,Health Insurance,10856.166
4032,49.0,-17.0,78.0,25.0,102.0,Colorado,Aurora,804000.0,08,04000,"Aurora city, Colorado",332820.0,33.3,50987.0,24173.0,55124.0,16.562706568114898,5.770386395048375,2016.0,CO,Colorado,Aurora,City,BRFSS,Prevention,0804000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.8,15.6,16.1,325078.0,"(39.7091594781, -104.726526621)",PREVENT,ACCESS2,Health Insurance,51362.324
4060,52.0,-13.0,78.0,27.0,104.0,Colorado,Boulder,807850.0,08,07850,"Boulder city, Colorado",100363.0,28.1,56312.0,37286.0,20908.0,20.83237846616781,4.59930452457579,2016.0,CO,Colorado,Boulder,City,BRFSS,Prevention,0807850,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.5,8.0,8.9,97385.0,"(40.0275510494, -105.25151776)",PREVENT,ACCESS2,Health Insurance,8277.725
4088,50.0,-17.0,77.0,25.0,100.0,Colorado,Centennial,812815.0,08,12815,"Centennial city, Colorado",102625.0,41.1,89214.0,41323.0,5287.0,5.151766138855055,3.6989037758830694,2016.0,CO,Colorado,Centennial,City,BRFSS,Prevention,0812815,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.6,7.3,7.9,100377.0,"(39.592872073, -104.867986891)",PREVENT,ACCESS2,Health Insurance,7628.652
4116,50.0,-15.0,77.0,25.0,100.0,Colorado,Colorado Springs,816000.0,08,16000,"Colorado Springs city, Colorado",425805.0,34.6,53962.0,29062.0,57453.0,13.492795998168175,4.98819882340508,2016.0,CO,Colorado,Colorado Springs,City,BRFSS,Prevention,0816000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.5,11.4,11.7,416427.0,"(38.8672748077, -104.760664479)",PREVENT,ACCESS2,Health Insurance,47889.105
4144,49.0,-17.0,78.0,25.0,102.0,Colorado,Denver,820000.0,08,20000,"Denver city, Colorado",619297.0,33.8,50313.0,33251.0,116284.0,18.77677431022595,4.978871203961912,2016.0,CO,Colorado,Denver,City,BRFSS,Prevention,0820000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.6,14.3,14.8,600158.0,"(39.7620283743, -104.876365322)",PREVENT,ACCESS2,Health Insurance,87623.068
4172,50.0,-18.0,79.0,24.0,103.0,Colorado,Fort Collins,827425.0,08,27425,"Fort Collins city, Colorado",146822.0,29.5,53780.0,28729.0,25921.0,17.654711146830856,4.700930378281184,2016.0,CO,Colorado,Fort Collins,City,BRFSS,Prevention,0827425,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.5,9.2,9.9,143986.0,"(40.5487758924, -105.065904872)",PREVENT,ACCESS2,Health Insurance,13678.67
4200,49.0,-32.0,79.0,21.0,106.0,Colorado,Greeley,832155.0,08,32155,"Greeley city, Colorado",94194.0,30.5,46272.0,21845.0,20314.0,21.56612947746141,5.173365607151198,2016.0,CO,Colorado,Greeley,City,BRFSS,Prevention,0832155,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.5,16.9,18.1,92889.0,"(40.4141369521, -104.771170982)",PREVENT,ACCESS2,Health Insurance,16255.574999999999
4228,52.0,-13.0,78.0,28.0,104.0,Colorado,Lakewood,843000.0,08,43000,"Lakewood city, Colorado",144530.0,38.8,56492.0,31094.0,17969.0,12.4327129315713,5.074379021656403,2016.0,CO,Colorado,Lakewood,City,BRFSS,Prevention,0843000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.1,11.7,12.5,142980.0,"(39.6976734462, -105.116965444)",PREVENT,ACCESS2,Health Insurance,17300.579999999998
4256,52.0,-13.0,78.0,27.0,104.0,Colorado,Longmont,845970.0,08,45970,"Longmont city, Colorado",87607.0,36.0,58698.0,29209.0,12811.0,14.623260698346023,4.587532959695001,2016.0,CO,Colorado,Longmont,City,BRFSS,Prevention,0845970,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.8,12.3,13.4,86270.0,"(40.1695164708, -105.10195106)",PREVENT,ACCESS2,Health Insurance,11042.56
4284,50.0,-18.0,79.0,24.0,103.0,Colorado,Loveland,846465.0,08,46465,"Loveland city, Colorado",68712.0,37.7,54977.0,27878.0,7135.0,10.38392129467924,4.648387472348353,2016.0,CO,Colorado,Loveland,City,BRFSS,Prevention,0846465,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.3,9.8,10.8,66859.0,"(40.4165693758, -105.061758435)",PREVENT,ACCESS2,Health Insurance,6886.477000000001
4312,53.0,-20.0,84.0,25.0,107.0,Colorado,Pueblo,862000.0,08,62000,"Pueblo city, Colorado",107429.0,37.7,34663.0,20042.0,24612.0,22.91001498664234,5.894125422371985,2016.0,CO,Colorado,Pueblo,City,BRFSS,Prevention,0862000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,20.6,20.1,21.1,106595.0,"(38.2733957251, -104.612001218)",PREVENT,ACCESS2,Health Insurance,21958.570000000003
4340,52.0,-13.0,78.0,28.0,104.0,Colorado,Thornton,877290.0,08,77290,"Thornton city, Colorado",121814.0,32.0,64525.0,26228.0,11369.0,9.33308158339764,4.245817393731427,2016.0,CO,Colorado,Thornton,City,BRFSS,Prevention,0877290,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.6,14.2,15.1,118772.0,"(39.9193994188, -104.944956758)",PREVENT,ACCESS2,Health Insurance,17340.712
4368,52.0,-13.0,78.0,27.0,104.0,Colorado,Westminster,883835.0,08,83835,"Westminster city, Colorado",108042.0,35.3,64884.0,31145.0,11360.0,10.514429573684309,4.997130745450844,2016.0,CO,Colorado,Westminster,City,BRFSS,Prevention,0883835,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.5,11.1,11.8,106114.0,"(39.8838511475, -105.062645316)",PREVENT,ACCESS2,Health Insurance,12203.11
4396,53.0,-2.0,74.0,35.0,103.0,Connecticut,Bridgeport,908000.0,09,08000,"Bridgeport city, Connecticut",145587.0,32.3,41050.0,20132.0,33015.0,22.67716210925426,8.252110421947014,2016.0,CT,Connecticut,Bridgeport,City,BRFSS,Prevention,0908000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.8,16.4,17.2,144229.0,"(41.1928054233, -73.196054694)",PREVENT,ACCESS2,Health Insurance,24230.472
4424,49.0,-14.0,74.0,28.0,97.0,Connecticut,Danbury,918430.0,09,18430,"Danbury city, Connecticut",81967.0,36.3,64969.0,30770.0,8293.0,10.117486305464395,5.357033928288214,2016.0,CT,Connecticut,Danbury,City,BRFSS,Unhealthy Behaviors,0918430,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,25.4,25.1,25.7,80893.0,"(41.4015898606, -73.470938682)",UNHBEH,OBESITY,Obesity,20546.822
4452,51.0,-8.0,75.0,31.0,103.0,Connecticut,Hartford,937000.0,09,37000,"Hartford city, Connecticut",125130.0,30.1,29430.0,16619.0,39452.0,31.528810037560937,9.653959881723008,2016.0,CT,Connecticut,Hartford,City,BRFSS,Prevention,0937000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.8,18.4,19.3,124775.0,"(41.7660706419, -72.6834012389)",PREVENT,ACCESS2,Health Insurance,23457.7
4480,51.0,-8.0,75.0,31.0,103.0,Connecticut,New Britain,950370.0,09,50370,"New Britain city, Connecticut",73112.0,33.8,40294.0,20655.0,15658.0,21.416456942772733,7.693675456833351,2016.0,CT,Connecticut,New Britain,City,BRFSS,Prevention,0950370,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.0,14.5,15.4,73206.0,"(41.675922654, -72.7861630705)",PREVENT,ACCESS2,Health Insurance,10980.9
4508,52.0,-3.0,72.0,33.0,100.0,Connecticut,New Haven,952000.0,09,52000,"New Haven city, Connecticut",130338.0,30.4,37428.0,23339.0,32135.0,24.65512743789225,7.412266568460464,2016.0,CT,Connecticut,New Haven,City,BRFSS,Prevention,0952000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.8,13.4,14.2,129779.0,"(41.3113869392, -72.9247595793)",PREVENT,ACCESS2,Health Insurance,17909.502
4536,53.0,-2.0,74.0,35.0,103.0,Connecticut,Norwalk,955990.0,09,55990,"Norwalk city, Connecticut",86499.0,41.3,74728.0,43767.0,8343.0,9.645198210383935,5.827813038301021,2016.0,CT,Connecticut,Norwalk,City,BRFSS,Prevention,0955990,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.3,9.9,10.8,85603.0,"(41.1175631682, -73.4224513123)",PREVENT,ACCESS2,Health Insurance,8817.109
4564,51.0,-1.0,74.0,33.0,99.0,Connecticut,Stamford,973000.0,09,73000,"Stamford city, Connecticut",123995.0,36.3,76779.0,43647.0,13695.0,11.044800193556192,6.54703818702367,2016.0,CT,Connecticut,Stamford,City,BRFSS,Prevention,0973000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.1,9.6,10.5,122643.0,"(41.1049145013, -73.5589363142)",PREVENT,ACCESS2,Health Insurance,12386.943
4592,49.0,-9.0,72.0,29.0,97.0,Connecticut,Waterbury,980000.0,09,80000,"Waterbury city, Connecticut",110052.0,35.1,40639.0,21120.0,25247.0,22.94097335804892,6.7695271326282125,2016.0,CT,Connecticut,Waterbury,City,BRFSS,Prevention,0980000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.7,15.3,16.1,110366.0,"(41.5582443266, -73.036129832)",PREVENT,ACCESS2,Health Insurance,17327.462
4620,56.0,3.0,79.0,37.0,103.0,Delaware,Wilmington,1077580.0,10,77580,"Wilmington city, Delaware",71143.0,34.4,38727.0,25191.0,16381.0,23.025455772177164,6.783520515019046,2016.0,DE,Delaware,Wilmington,City,BRFSS,Prevention,1077580,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.1,16.5,17.7,70851.0,"(39.7412748227, -75.5418960925)",PREVENT,ACCESS2,Health Insurance,12115.521
4648,58.0,5.0,81.0,41.0,105.0,District of Columbia,Washington,1150000.0,11,50000,"Washington city, District of Columbia",619371.0,33.8,65830.0,45290.0,109200.0,17.630789946574833,6.295741970482958,2016.0,DC,District of C,Washington,City,BRFSS,Prevention,1150000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.7,7.6,7.8,601723.0,"(38.9099241426, -77.0147205666)",PREVENT,ACCESS2,Health Insurance,46332.671
4676,77.0,32.0,89.0,60.0,102.0,Florida,Boca Raton,1207300.0,12,07300,"Boca Raton city, Florida",86671.0,45.8,70699.0,47521.0,9304.0,10.734847872990965,5.099745012749363,2016.0,FL,Florida,Boca Raton,City,BRFSS,Prevention,1207300,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.2,14.6,15.7,84392.0,"(26.3749012715, -80.1078208861)",PREVENT,ACCESS2,Health Insurance,12827.583999999999
4704,75.0,32.0,89.0,59.0,98.0,Florida,Boynton Beach,1207875.0,12,07875,"Boynton Beach city, Florida",69257.0,43.3,44390.0,26145.0,12176.0,17.5808943500296,7.711855841286801,2016.0,FL,Florida,Boynton Beach,City,BRFSS,Prevention,1207875,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.3,21.5,23.0,68217.0,"(26.5279818052, -80.0814660417)",PREVENT,ACCESS2,Health Insurance,15212.391
4732,73.0,30.0,90.0,58.0,97.0,Florida,Cape Coral,1210275.0,12,10275,"Cape Coral city, Florida",158415.0,42.6,49170.0,23270.0,22129.0,13.969005460341508,7.142631695230881,2016.0,FL,Florida,Cape Coral,City,BRFSS,Prevention,1210275,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,21.0,20.5,21.5,154305.0,"(26.6448544993, -81.9931108298)",PREVENT,ACCESS2,Health Insurance,32404.05
4760,72.0,30.0,88.0,58.0,97.0,Florida,Clearwater,1212875.0,12,12875,"Clearwater city, Florida",108551.0,44.5,42158.0,28180.0,17507.0,16.12790301333014,4.790375031091377,2016.0,FL,Florida,Clearwater,City,BRFSS,Prevention,1212875,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,21.2,20.7,21.8,107685.0,"(27.9805997919, -82.7544099135)",PREVENT,ACCESS2,Health Insurance,22829.22
4788,76.0,34.0,89.0,61.0,99.0,Florida,Coral Springs,1214400.0,12,14400,"Coral Springs city, Florida",123476.0,36.5,64753.0,29743.0,11984.0,9.705529819560077,6.845054909456088,2016.0,FL,Florida,Coral Springs,City,BRFSS,Prevention,1214400,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.6,19.1,20.1,121096.0,"(26.2701700158, -80.2592221493)",PREVENT,ACCESS2,Health Insurance,23734.816000000003
4816,75.0,34.0,90.0,61.0,117.0,Florida,Davie,1216475.0,12,16475,"Davie town, Florida",93842.0,37.9,59345.0,30790.0,11341.0,12.08520705014812,5.349417105347285,2016.0,FL,Florida,Davie,City,BRFSS,Prevention,1216475,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,20.7,19.9,21.3,91992.0,"(26.0789340778, -80.2869750311)",PREVENT,ACCESS2,Health Insurance,19042.343999999997
4844,77.0,32.0,89.0,60.0,102.0,Florida,Deerfield Beach,1216725.0,12,16725,"Deerfield Beach city, Florida",76330.0,43.6,38353.0,23510.0,14381.0,18.840560723175685,5.637364077033932,2016.0,FL,Florida,Deerfield Beach,City,BRFSS,Prevention,1216725,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,23.5,22.8,24.3,75018.0,"(26.3049966413, -80.1277706584)",PREVENT,ACCESS2,Health Insurance,17629.23
4872,70.0,25.0,89.0,54.0,100.0,Florida,Deltona,1217200.0,12,17200,"Deltona city, Florida",85415.0,38.0,47049.0,19893.0,12159.0,14.23520458935784,5.597377509805069,2016.0,FL,Florida,Deltona,City,BRFSS,Prevention,1217200,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,24.7,24.0,25.3,85182.0,"(28.905060048, -81.2134269839)",PREVENT,ACCESS2,Health Insurance,21039.954
4900,76.0,34.0,89.0,61.0,99.0,Florida,Fort Lauderdale,1224000.0,12,24000,"Fort Lauderdale city, Florida",168603.0,42.3,49119.0,35605.0,34269.0,20.325261116350244,6.839735947758936,2016.0,FL,Florida,Fort Lauderdale,City,BRFSS,Prevention,1224000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.1,21.6,22.7,165521.0,"(26.1418205174, -80.1471225502)",PREVENT,ACCESS2,Health Insurance,36580.141
4928,68.0,17.0,87.0,48.0,99.0,Florida,Gainesville,1225175.0,12,25175,"Gainesville city, Florida",125845.0,25.0,32492.0,19616.0,38991.0,30.983352536850887,4.840875680400493,2016.0,FL,Florida,Gainesville,City,BRFSS,Prevention,1225175,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.9,19.4,20.5,124354.0,"(29.6817027431, -82.345278266)",PREVENT,ACCESS2,Health Insurance,24746.445999999996
4956,75.0,33.0,89.0,61.0,108.0,Florida,Hialeah,1230000.0,12,30000,"Hialeah city, Florida",228943.0,42.6,29961.0,14321.0,55681.0,24.320900835579163,6.6536212070253296,2016.0,FL,Florida,Hialeah,City,BRFSS,Prevention,1230000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,43.7,42.8,44.7,224669.0,"(25.869626948, -80.3045294666)",PREVENT,ACCESS2,Health Insurance,98180.35300000002
4984,75.0,34.0,89.0,61.0,117.0,Florida,Hollywood,1232000.0,12,32000,"Hollywood city, Florida",143273.0,41.7,45585.0,26069.0,21942.0,15.314818563162634,7.18558276856072,2016.0,FL,Florida,Hollywood,City,BRFSS,Prevention,1232000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,25.3,24.8,25.9,140768.0,"(26.0287025703, -80.1683976059)",PREVENT,ACCESS2,Health Insurance,35614.304000000004
5012,71.0,24.0,88.0,55.0,102.0,Florida,Jacksonville,1235000.0,12,35000,"Jacksonville city, Florida",829721.0,35.5,47557.0,25374.0,140150.0,16.891220060719206,6.1636381386032175,2016.0,FL,Florida,Jacksonville,City,BRFSS,Prevention,1235000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,20.6,20.3,20.8,821784.0,"(30.3319820139, -81.6752266207)",PREVENT,ACCESS2,Health Insurance,169287.50400000002
